510,580,557,568,539,556,545,524,535,583,566,535,533,545,537,547,536,536,539,548,549,557,538,,,,,,,,,,,,,,,,,,,,,,
592,541,563,498,588,518,546,540,557,536,511,573,515,541,551,552,510,553,562,583,541,546,516,,,,,,,,,,,,,,,,,,,,,,
636,554,532,534,597,523,488,592,547,534,547,549,534,503,539,537,593,525,531,596,496,544,536,,,,,,,,,,,,,,,,,,,,,,
543,563,575,568,550,514,535,559,522,516,580,546,536,532,578,550,499,549,564,550,527,544,534,575,526,504,569,538,573,544,541,579,516,,,,,,,,,,,,
536,574,556,536,550,587,587,509,527,580,509,561,545,544,551,549,552,544,511,510,588,523,533,562,528,526,559,549,556,591,543,515,487,,,,,,,,,,,,
548,556,549,564,536,542,590,500,521,552,534,587,513,557,534,525,566,564,573,525,512,562,558,512,539,537,559,575,518,548,489,590,571,,,,,,,,,,,,
1.68803E+12,518,557,555,565,522,512,548,549,541,531,543,561,542,538,529,538,534,558,540,538,519,556,557,570,572,550,523,576,536,528,524,575,534,528,529,528,563,517,562,584,542,524,552,526
559,590,566,523,547,518,579,532,535,588,543,518,544,531,542,540,504,622,541,541,524,562,541,551,511,577,528,541,558,522,572,522,571,511,571,559,528,560,525,551,540,518,641,551
502,553,593,528,507,550,530,523,563,545,552,538,548,539,551,523,578,540,523,592,530,521,539,550,536,534,565,542,524,564,521,544,586,560,534,530,545,523,561,546,538,553,535,524
553,612,494,539,541,577,483,572,537,576,541,563,537,534,543,557,538,550,537,531,559,545,539,553,524,557,552,564,520,563,501,606,507,537,580,564,519,559,553,549,527,556,528,556,562,509,553,562
558,554,545,541,527,566,536,543,542,489,566,564,554,567,554,556,539,551,521,559,518,556,518,569,542,552,518,538,538,542,544,527,557,562,565,530,515,585
